feature,standardized_coef
open_end_eda__code_length,0.08188811739674967
scaffolded_coding__test_coverage,0.06160249056913853
open_end_eda__code_style_metric,-0.05066266325674061
free_response__sentiment,0.037152867344459085
free_response__length_of_written_response,0.026946381777271076
mock_interview__conceptual_explanation,0.024128154979180538
open_end_eda__test_coverage,0.02392072521642483
free_response__lexical_sophistication,0.00996869170893882
scaffolded_coding__code_style_metric,-0.009878969496428976
mock_interview__tempo,0.008803669680030468
mock_interview__fluency,-0.00722414854329234
scaffolded_coding__code_length,0.007104968345042079
