feature,standardized_coef
open_end_eda__code_length,0.44663441858388403
free_response__length_of_written_response,0.44265921457282115
free_response__lexical_sophistication,0.4215100824761768
open_end_eda__test_coverage,-0.37104324187477866
mock_interview__conceptual_explanation,0.34890082651699933
scaffolded_coding__test_coverage,0.3454736856585098
free_response__sentiment,0.20531723717635056
mock_interview__tempo,0.15919060173773364
mock_interview__fluency,-0.1563650229131335
scaffolded_coding__code_style_metric,-0.13778495724640866
scaffolded_coding__code_length,-0.07866628604927121
open_end_eda__code_style_metric,0.07540876890434232
